in_port	Switch input port (int)	{"in_port": 7}
in_phy_port	Switch physical input port (int)	{"in_phy_port": 5, "in_port": 3}
metadata	Metadata passed between tables (int or string)	{"metadata": 12345} or {"metadata": "0x1212/0xffff"}
eth_dst	Ethernet destination address (string)	{"eth_dst": "aa:bb:cc:11:22:33/00:00:00:00:ff:ff"}
eth_src	Ethernet source address (string)	{"eth_src": "aa:bb:cc:11:22:33"}
eth_type	Ethernet frame type (int)	{"eth_type": 2048}
vlan_vid	VLAN id (int or string)	See Example of VLAN ID match field
vlan_pcp	VLAN priority (int)	{"vlan_pcp": 3, "vlan_vid": 3}
ip_dscp	IP DSCP (6 bits in ToS field) (int)	{"ip_dscp": 3, "eth_type": 2048}
ip_ecn	IP ECN (2 bits in ToS field) (int)	{"ip_ecn": 0, "eth_type": 34525}
ip_proto	IP protocol (int)	{"ip_proto": 5, "eth_type": 34525}
ipv4_src	IPv4 source address (string)	{"ipv4_src": "192.168.0.1", "eth_type": 2048}
ipv4_dst	IPv4 destination address (string)	{"ipv4_dst": "192.168.10.10/255.255.255.0", "eth_type": 2048}
tcp_src	TCP source port (int)	{"tcp_src": 3, "ip_proto": 6, "eth_type": 2048}
tcp_dst	TCP destination port (int)	{"tcp_dst": 5, "ip_proto": 6, "eth_type": 2048}
udp_src	UDP source port (int)	{"udp_src": 2, "ip_proto": 17, "eth_type": 2048}
udp_dst	UDP destination port (int)	{"udp_dst": 6, "ip_proto": 17, "eth_type": 2048}
sctp_src	SCTP source port (int)	{"sctp_src": 99, "ip_proto": 132, "eth_type": 2048}
sctp_dst	SCTP destination port (int)	{"sctp_dst": 99, "ip_proto": 132, "eth_type": 2048}
icmpv4_type	ICMP type (int)	{"icmpv4_type": 5, "ip_proto": 1, "eth_type": 2048}
icmpv4_code	ICMP code (int)	{"icmpv4_code": 6, "ip_proto": 1, "eth_type": 2048}
arp_op	ARP opcode (int)	{"arp_op": 3, "eth_type": 2054}
arp_spa	ARP source IPv4 address (string)	{"arp_spa": "192.168.0.11", "eth_type": 2054}
arp_tpa	ARP target IPv4 address (string)	{"arp_tpa": "192.168.0.44/24", "eth_type": 2054}
arp_sha	ARP source hardware address (string)	{"arp_sha": "aa:bb:cc:11:22:33", "eth_type": 2054}
arp_tha	ARP target hardware address (string)	{"arp_tha": "aa:bb:cc:11:22:33/00:00:00:00:ff:ff", "eth_type": 2054}
ipv6_src	IPv6 source address (string)	{"ipv6_src": "2001::aaaa:bbbb:cccc:1111", "eth_type": 34525}
ipv6_dst	IPv6 destination address (string)	{"ipv6_dst": "2001::ffff:cccc:bbbb:1111/64", "eth_type": 34525}
ipv6_flabel	IPv6 Flow Label (int)	{"ipv6_flabel": 2, "eth_type": 34525}
icmpv6_type	ICMPv6 type (int)	{"icmpv6_type": 3, "ip_proto": 58, "eth_type": 34525}
icmpv6_code	ICMPv6 code (int)	{"icmpv6_code": 4, "ip_proto": 58, "eth_type": 34525}
ipv6_nd_target	Target address for Neighbor Discovery (string)	{"ipv6_nd_target": "2001::ffff:cccc:bbbb:1111", "icmpv6_type": 135, "ip_proto": 58, "eth_type": 34525}
ipv6_nd_sll	Source link-layer for Neighbor Discovery (string)	{"ipv6_nd_sll": "aa:bb:cc:11:22:33", "icmpv6_type": 135, "ip_proto": 58, "eth_type": 34525}
ipv6_nd_tll	Target link-layer for Neighbor Discovery (string)	{"ipv6_nd_tll": "aa:bb:cc:11:22:33", "icmpv6_type": 136, "ip_proto": 58, "eth_type": 34525}
mpls_label	MPLS label (int)	{"mpls_label": 3, "eth_type": 34888}
mpls_tc	MPLS Traffic Class (int)	{"mpls_tc": 2, "eth_type": 34888}
mpls_bos	MPLS BoS bit (int) (Openflow1.3+)	{"mpls_bos": 1, "eth_type": 34888}
pbb_isid	PBB I-SID (int or string) (Openflow1.3+)	{"pbb_isid": 5, "eth_type": 35047} or{"pbb_isid": "0x05/0xff", "eth_type": 35047}
tunnel_id	Logical Port Metadata (int or string) (Openflow1.3+)	{"tunnel_id": 7} or {"tunnel_id": "0x07/0xff"}
ipv6_exthdr	IPv6 Extension Header pseudo-field (int or string) (Openflow1.3+)	{"ipv6_exthdr": 3, "eth_type": 34525} or {"ipv6_exthdr": "0x40/0x1F0", "eth_type": 34525}
pbb_uca	PBB UCA hander field(int) (Openflow1.4+)	{"pbb_uca": 1, "eth_type": 35047}
tcp_flags	TCP flags(int) (Openflow1.5+)	{"tcp_flags": 2, "ip_proto": 6, "eth_type": 2048}
actset_output	Output port from action set metadata(int) (Openflow1.5+)	{"actset_output": 3}
packet_type	Packet type value(int) (Openflow1.5+)	{"packet_type": [1, 2048]}
